source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	technology type	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr7_immunopeptidome.raw		not available	not available	not available	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr4_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr6_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_1D_HCD_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr1_immunopeptidome.raw		not available	not available	not available	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr3_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr8_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr9_immunopeptidome.raw		not available	not available	not available	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr2_immunopeptidome.raw		not available	not available	NT=Orbitrap Elite	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_2D_ETHCD_fr5_immunopeptidome.raw		not available	not available	not available	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	GR_LCL_1D_ETHCD_immunopeptidome.raw		not available	not available	not available	40.0 ppm	20.0 ppm	NT=unspecific cleavage;CS=(?<=[@])	NT=no cleavage;CS=(?<=[@])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQ:-17;MT=Variable;PP=Any N-term;TA=Q;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Cysteinyl;MT=Variable;PP=Anywhere;TA=C;MM=119.00410